Nr. Crt,Name,Surname,City
1,Tyler,Smith,New York
2,Andrew,Johnson,Los Angeles
3,Alex,Williams,Chicago
4,Jacob,Brown,Houston
5,Jessica,Garcia,Philadelphia
6,Emma,Miller,San Antonio
7,Lauren,Davis,San Diego
8,Katie,Rodriguez,Dallas
9,Samantha,Martinez,San Jose
10,Michael,Hernandez,Austin
11,Emily,Lopez,Jacksonville
12,Hannah,Gonzales,Fort Worth
13,Sarah,Wilson,Columbus
14,Ashley,Anderson,Indianapolis
15,Ryan,Thomas,Charlotte
16,Matthew,Taylor,San Francisco
17,John,Moore,Seattle
18,Daniel,Jackson,Denver
19,Austin,Martin,Washington
20,David,Lee,Nashville
21,Rachel,Perez,Oklahoma City
22,Kayla,Thompson,El Paso
23,Olivia,White,Boston
24,Megan,Harris,Portland
25,Anna,Sanchez,Las Vegas
26,Alyssa,Clark,Detroit
27,Grace,Ramirez,Memphis
28,Nathan,Lewis,Louisville
29,Chris,Robinson,Baltimore
30,Brandon,Walker,Milwaukee
31,Nick,Young,Sydney
32,Ethan,Allen,Tucson
33,Justin,Wright,Sacramento
34,Jordan,Scott,Kansas City
35,Joshua,Torres,Wellington
36,Madison,Nguyen,Atlanta
37,Alexis,Hill,Omaha
38,Elizabeth,Flores,Colorado Springs
39,Gabriel,Green,Raleigh
40,Lucas,Adams,Long Beach
41,Daniel,Nelson,Virginia Beach
42,Juan,Baker,Miami
43,Diego,Hall,Oakland
44,Pedro,Rivera,Minneapolis
45,Matheus,Campbell,Tulsa
46,David,Mitchell,Bakersfield
47,Andres,Carter,Wichita
48,Santiago,Roberts,Arlington
49,Camila,Gomez,Aurora
50,Maria,Phillips,Tampa
51,Laura,Evans,New Orleans
52,Gabriela,Turner,Cleveland
53,Daniela,Diaz,Honolulu
54,Natalia,Parker,Anaheim
55,Andrea,Cruz,Lexington
56,Fernanda,Edwards,Stockton
57,Sofia,Collins,Corpus Christi
58,Ana,Reyes,Henderson
59,Stewart,Watson,London
60,Morris,Peterson,Birmingham
61,Morales,Bailey,Leeds
62,Murphy,Reed,Glasgow
63,Cook,Kelly,Manchester
64,Carol,Howard,Bradford
65,Amanda,Ward,Liverpool
66,Melissa,Richardson,Edinburgh
67,Raphael,Lavigne,Paris
68,Gabriel,Moreau,Marseille
69,Leo,Martin,Lyon
70,Alice,Toussaint,Toulouse
71,Lina,Allard,Nice
72,Arthur,Monet,Nantes
73,Louis,Laurent,Montpellier
74,Jade,Blanchet,Bruxelles
75,Louise,Garnier,Rennes
76,Andrei,Ionita,Buzau
77,Alexandru,Ionescu,Bucuresti
78,Stefan,Nita,Cluj-Napoca
79,Alexandra,Marin,Timisoara
80,Mihai,Marin,Iasi
81,Ana-Maria,Tudor,Constanta
82,Maria,Pop,Craiova
83,Andreea,Stoica,Brasov
84,Lukas,Muller,Berlin
85,Leon,Schmidt,Hamburg
86,Luka,Wagner,Munich
87,Finn,Becker,Cologne
88,Mia,Hoffman,Frankfurt
89,Lea,Meyer,Stuttgart
90,Hannah,Weber,Bremen
91,Laura,Schulz,Dortmund
92,Lena,Fischer,Leipzig
93,Haru,Sato,Tokyo
94,Asahi,Suzuki,Yokohama
95,Haruto,Takahashi,Osaka
96,Ichika,Tanaka,Nagoya
97,Kaito,Watanabe,Sapporo
98,Yua,Ito,Kawasaki
99,Baek-Hyun,Park,Seoul
100,Bon-Hwa,Kim,Busan
101,Ae-Cha,Chung,Incheon
102,Ari,Chue,Daegu
103,Ga-Ram,Chung,Gwangju
104,Chu Hua,Wang,Beijing
105,Shanyuan,Zhang,Shanghai
106,Jianyu,Li,Hong Kong
107,Daiyu,Chen,Chongqing
108,Zixin,Zhao,Tianjin
